elo_rank,country_code,elo_rating,peak_elo,peak_rank,average_elo,lowest_elo,collected_at
1,ES,2190,2190,7,1947,1805,2026-07-11T13:27:38.901177+00:00
2,FR,2163,2163,16,1795,1514,2026-07-11T13:27:38.901177+00:00
3,AR,2156,2172,5,1987,1751,2026-07-11T13:27:38.901177+00:00
4,EN,2076,2213,4,1983,1810,2026-07-11T13:27:38.901177+00:00
5,CO,2003,2069,48,1621,1304,2026-07-11T13:27:38.901177+00:00
6,PT,1995,2060,19,1797,1623,2026-07-11T13:27:38.901177+00:00
7,BR,1993,2195,4,1998,1805,2026-07-11T13:27:38.901177+00:00
8,NO,1972,1972,38,1623,1364,2026-07-11T13:27:38.901177+00:00
9,NL,1971,2153,15,1848,1552,2026-07-11T13:27:38.901177+00:00
10,CH,1949,1949,27,1689,1485,2026-07-11T13:27:38.901177+00:00
11,BE,1948,2157,24,1755,1503,2026-07-11T13:27:38.901177+00:00
12,MX,1913,1985,20,1784,1498,2026-07-11T13:27:38.901177+00:00
13,DE,1908,2222,8,1910,1637,2026-07-11T13:27:38.901177+00:00
14,MA,1901,1923,43,1658,1510,2026-07-11T13:27:38.901177+00:00
15,JP,1888,1925,61,1468,1126,2026-07-11T13:27:38.901177+00:00
16,HR,1881,2015,12,1881,1780,2026-07-11T13:27:38.901177+00:00
17,EC,1871,1938,64,1526,1183,2026-07-11T13:27:38.901177+00:00
18,DK,1869,2074,20,1799,1541,2026-07-11T13:27:38.901177+00:00
18,IT,1869,2134,8,1915,1607,2026-07-11T13:27:38.901177+00:00
20,TR,1852,1911,43,1610,1358,2026-07-11T13:27:38.901177+00:00
21,UY,1841,2104,12,1877,1636,2026-07-11T13:27:38.901177+00:00
22,AT,1821,2070,20,1809,1549,2026-07-11T13:27:38.901177+00:00
23,SN,1816,1879,56,1591,1386,2026-07-11T13:27:38.901177+00:00
24,PY,1814,1956,23,1755,1619,2026-07-11T13:27:38.901177+00:00
25,AU,1795,1875,35,1671,1469,2026-07-11T13:27:38.901177+00:00
26,UA,1780,1873,31,1745,1561,2026-07-11T13:27:38.901177+00:00
27,RU,1772,2083,24,1742,1449,2026-07-11T13:27:38.901177+00:00
28,NG,1767,1826,38,1669,1500,2026-07-11T13:27:38.901177+00:00
29,IR,1764,1853,40,1658,1450,2026-07-11T13:27:38.901177+00:00
30,DZ,1756,1807,48,1621,1386,2026-07-11T13:27:38.901177+00:00
31,US,1747,1890,40,1646,1412,2026-07-11T13:27:38.901177+00:00
32,SQ,1745,2104,14,1877,1598,2026-07-11T13:27:38.901177+00:00
33,GR,1744,1931,49,1559,1273,2026-07-11T13:27:38.901177+00:00
34,EG,1742,1873,37,1662,1528,2026-07-11T13:27:38.901177+00:00
35,RS,1734,2018,20,1787,1515,2026-07-11T13:27:38.901177+00:00
36,VE,1733,1829,83,1433,1218,2026-07-11T13:27:38.901177+00:00
37,SE,1731,2013,17,1795,1579,2026-07-11T13:27:38.901177+00:00
38,CA,1729,1841,49,1599,1471,2026-07-11T13:27:38.901177+00:00
39,CI,1727,1863,45,1640,1476,2026-07-11T13:27:38.901177+00:00
40,KR,1723,1845,35,1688,1445,2026-07-11T13:27:38.901177+00:00
41,CL,1717,2040,28,1678,1384,2026-07-11T13:27:38.901177+00:00
42,KO,1714,1737,102,1421,1363,2026-07-11T13:27:38.901177+00:00
43,HU,1710,2234,20,1835,1529,2026-07-11T13:27:38.901177+00:00
43,PL,1710,2084,30,1712,1521,2026-07-11T13:27:38.901177+00:00
45,CD,1704,1782,62,1557,1387,2026-07-11T13:27:38.901177+00:00
46,PE,1700,1916,35,1679,1485,2026-07-11T13:27:38.901177+00:00
47,IE,1699,1918,24,1626,1237,2026-07-11T13:27:38.901177+00:00
48,WA,1682,1909,22,1670,1403,2026-07-11T13:27:38.901177+00:00
48,SI,1682,1777,54,1625,1518,2026-07-11T13:27:38.901177+00:00
50,CZ,1680,2032,13,1854,1669,2026-07-11T13:27:38.901177+00:00
51,SK,1667,1775,40,1682,1567,2026-07-11T13:27:38.901177+00:00
52,PA,1658,1773,99,1363,1154,2026-07-11T13:27:38.901177+00:00
53,GE,1654,1755,70,1554,1434,2026-07-11T13:27:38.901177+00:00
54,IL,1647,1776,49,1621,1427,2026-07-11T13:27:38.901177+00:00
55,RO,1639,1945,29,1717,1501,2026-07-11T13:27:38.901177+00:00
56,UZ,1631,1766,60,1596,1428,2026-07-11T13:27:38.901177+00:00
57,JO,1628,1701,111,1323,1094,2026-07-11T13:27:38.901177+00:00
58,BO,1621,1798,60,1509,1244,2026-07-11T13:27:38.901177+00:00
59,CV,1619,1625,120,1302,1172,2026-07-11T13:27:38.901177+00:00
60,AL,1616,1675,72,1504,1363,2026-07-11T13:27:38.901177+00:00
61,CM,1613,1850,52,1605,1442,2026-07-11T13:27:38.901177+00:00
62,CR,1608,1866,36,1690,1479,2026-07-11T13:27:38.901177+00:00
63,EI,1605,1853,40,1654,1397,2026-07-11T13:27:38.901177+00:00
63,BA,1605,1806,53,1626,1469,2026-07-11T13:27:38.901177+00:00
65,SA,1596,1736,76,1499,1253,2026-07-11T13:27:38.901177+00:00
66,NM,1589,1667,74,1534,1401,2026-07-11T13:27:38.901177+00:00
67,ML,1588,1650,70,1523,1302,2026-07-11T13:27:38.901177+00:00
68,GH,1570,1877,42,1650,1424,2026-07-11T13:27:38.901177+00:00
68,HN,1570,1789,63,1501,1331,2026-07-11T13:27:38.901177+00:00
70,IS,1568,1841,81,1425,1258,2026-07-11T13:27:38.901177+00:00
71,TN,1562,1757,47,1616,1438,2026-07-11T13:27:38.901177+00:00
72,IQ,1561,1740,46,1629,1456,2026-07-11T13:27:38.901177+00:00
73,ZA,1560,1847,32,1707,1448,2026-07-11T13:27:38.901177+00:00
74,AO,1542,1628,86,1456,1213,2026-07-11T13:27:38.901177+00:00
75,AE,1540,1692,98,1396,981,2026-07-11T13:27:38.901177+00:00
76,FI,1536,1757,62,1500,1246,2026-07-11T13:27:38.901177+00:00
77,NZ,1534,1642,66,1500,1334,2026-07-11T13:27:38.901177+00:00
78,BF,1529,1617,98,1403,1265,2026-07-11T13:27:38.901177+00:00
79,JM,1527,1700,83,1414,1222,2026-07-11T13:27:38.901177+00:00
80,BY,1522,1665,80,1505,1349,2026-07-11T13:27:38.901177+00:00
81,HT,1517,1674,81,1418,1265,2026-07-11T13:27:38.901177+00:00
82,GT,1504,1642,68,1486,1382,2026-07-11T13:27:38.901177+00:00
83,SY,1479,1618,86,1428,1253,2026-07-11T13:27:38.901177+00:00
83,OM,1479,1634,127,1212,782,2026-07-11T13:27:38.901177+00:00
85,PS,1465,1483,121,1254,1154,2026-07-11T13:27:38.901177+00:00
86,GN,1463,1772,72,1516,1302,2026-07-11T13:27:38.901177+00:00
87,ME,1461,1720,61,1596,1440,2026-07-11T13:27:38.901177+00:00
88,BG,1458,1910,41,1632,1312,2026-07-11T13:27:38.901177+00:00
89,LU,1450,1520,108,1257,979,2026-07-11T13:27:38.901177+00:00
90,NS,1442,1486,87,1450,1426,2026-07-11T13:27:38.901177+00:00
91,CW,1438,1618,97,1381,1011,2026-07-11T13:27:38.901177+00:00
92,SR,1431,1592,84,1404,1160,2026-07-11T13:27:38.901177+00:00
93,KZ,1428,1622,100,1420,1307,2026-07-11T13:27:38.901177+00:00
94,CN,1424,1752,50,1577,1375,2026-07-11T13:27:38.901177+00:00
94,KD,1424,1424,100,1424,1403,2026-07-11T13:27:38.901177+00:00
96,LY,1420,1617,82,1469,1321,2026-07-11T13:27:38.901177+00:00
97,GM,1419,1454,118,1309,1190,2026-07-11T13:27:38.901177+00:00
98,BH,1414,1634,109,1349,1074,2026-07-11T13:27:38.901177+00:00
99,QA,1411,1771,93,1416,963,2026-07-11T13:27:38.901177+00:00
