ranking_date,team,country_id,fifa_rank,previous_rank,fifa_points,decimal_points,ranking_movement,confederation,matches_played,collected_at
2026-06-11T10:00:00+00:00,Argentina,ARG,1,3,1877,1877.27,2,CONMEBOL,49,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Spain,ESP,2,2,1875,1874.71,0,UEFA,48,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,France,FRA,3,1,1871,1870.7,-2,UEFA,49,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,England,ENG,4,4,1828,1828.02,0,UEFA,50,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Portugal,POR,5,5,1768,1767.85,0,UEFA,48,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Brazil,BRA,6,6,1766,1765.86,0,CONMEBOL,44,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Morocco,MAR,7,8,1755,1755.1,1,CAF,69,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Netherlands,NED,8,7,1754,1753.57,-1,UEFA,49,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Belgium,BEL,9,9,1742,1742.24,0,UEFA,46,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Germany,GER,10,10,1736,1735.77,0,UEFA,47,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Croatia,CRO,11,11,1715,1714.87,0,UEFA,48,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Italy,ITA,12,12,1705,1704.73,0,UEFA,44,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Colombia,COL,13,13,1698,1698.35,0,CONMEBOL,46,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Mexico,MEX,14,15,1687,1687.48,1,CONCACAF,66,2026-07-07T14:44:56.391490+00:00
2026-06-11T10:00:00+00:00,Senegal,SEN,15,14,1684,1684.07,-1,CAF,71,2026-07-07T14:44:56.391490+00:00
