team,country_code,appearances,titles,best_finish,best_finish_label,collected_at
Algeria,DZA,4,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Angola,AGO,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Argentina,ARG,18,3,1,Winner,2026-07-05T01:46:44.983031+00:00
Australia,AUS,6,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Austria,AUT,7,0,3,Third place,2026-07-05T01:46:44.983031+00:00
Belgium,BEL,14,0,3,Third place,2026-07-05T01:46:44.983031+00:00
Bolivia,BOL,3,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Bosnia and Herzegovina,BIH,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Brazil,BRA,22,5,1,Winner,2026-07-05T01:46:44.983031+00:00
Bulgaria,BGR,7,0,4,Fourth place,2026-07-05T01:46:44.983031+00:00
Cameroon,CMR,8,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Canada,CAN,2,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Chile,CHL,9,0,3,Third place,2026-07-05T01:46:44.983031+00:00
China,CHN,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Colombia,COL,6,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Costa Rica,CRI,6,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Croatia,HRV,6,0,2,Runner-up,2026-07-05T01:46:44.983031+00:00
Cuba,CUB,1,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Czech Republic,CZE,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Czechoslovakia,CSK,8,0,2,Runner-up,2026-07-05T01:46:44.983031+00:00
Denmark,DNK,6,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Dutch East Indies,IDN,1,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
East Germany,DDR,1,0,7,Second group stage,2026-07-05T01:46:44.983031+00:00
Ecuador,ECU,4,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Egypt,EGY,3,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
El Salvador,SLV,2,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
England,ENG,16,1,1,Winner,2026-07-05T01:46:44.983031+00:00
France,FRA,16,2,1,Winner,2026-07-05T01:46:44.983031+00:00
Germany,DEU,10,1,1,Winner,2026-07-05T01:46:44.983031+00:00
Ghana,GHA,4,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Greece,GRC,3,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Haiti,HTI,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Honduras,HND,3,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Hungary,HUN,9,0,2,Runner-up,2026-07-05T01:46:44.983031+00:00
Iceland,ISL,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Iran,IRN,6,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Iraq,IRQ,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Israel,ISR,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Italy,ITA,18,4,1,Winner,2026-07-05T01:46:44.983031+00:00
Ivory Coast,CIV,3,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Jamaica,JAM,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Japan,JPN,7,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Kuwait,KWT,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Mexico,MEX,17,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Morocco,MAR,6,0,4,Fourth place,2026-07-05T01:46:44.983031+00:00
Netherlands,NLD,11,0,2,Runner-up,2026-07-05T01:46:44.983031+00:00
New Zealand,NZL,2,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Nigeria,NGA,6,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
North Korea,PRK,2,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Northern Ireland,NIR,3,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Norway,NOR,3,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Panama,PAN,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Paraguay,PRY,8,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Peru,PER,5,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Poland,POL,9,0,3,Third place,2026-07-05T01:46:44.983031+00:00
Portugal,PRT,8,0,3,Third place,2026-07-05T01:46:44.983031+00:00
Qatar,QAT,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Republic of Ireland,IRL,3,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Romania,ROU,7,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Russia,RUS,4,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Saudi Arabia,SAU,6,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Scotland,SCO,8,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Senegal,SEN,3,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Serbia,SRB,3,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Serbia and Montenegro,SCG,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Slovakia,SVK,1,0,6,Round of 16,2026-07-05T01:46:44.983031+00:00
Slovenia,SVN,2,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
South Africa,ZAF,3,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
South Korea,KOR,11,0,4,Fourth place,2026-07-05T01:46:44.983031+00:00
Soviet Union,SUN,7,0,4,Fourth place,2026-07-05T01:46:44.983031+00:00
Spain,ESP,16,1,1,Winner,2026-07-05T01:46:44.983031+00:00
Sweden,SWE,12,0,2,Runner-up,2026-07-05T01:46:44.983031+00:00
Switzerland,CHE,12,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
Togo,TGO,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Trinidad and Tobago,TTO,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Tunisia,TUN,6,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
Turkey,TUR,2,0,3,Third place,2026-07-05T01:46:44.983031+00:00
Ukraine,UKR,1,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
United Arab Emirates,ARE,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
United States,USA,11,0,3,Third place,2026-07-05T01:46:44.983031+00:00
Uruguay,URY,14,2,1,Winner,2026-07-05T01:46:44.983031+00:00
Wales,WAL,2,0,5,Quarter-finals,2026-07-05T01:46:44.983031+00:00
West Germany,DEU,10,3,1,Winner,2026-07-05T01:46:44.983031+00:00
Yugoslavia,YUG,9,0,4,Fourth place,2026-07-05T01:46:44.983031+00:00
Zaire,COD,1,0,8,Group stage,2026-07-05T01:46:44.983031+00:00
